iter	Passed	Remaining
210	4236	10034876
211	4256	10033763
212	4282	10048413
213	4301	10045371
214	4318	10037673
215	4333	10028011
216	4351	10021697
217	4371	10021970
218	4391	10021149
219	4407	10013279
220	4424	10004923
221	4440	9995819
222	4456	9988334
223	4472	9979736
224	4489	9971843
225	4505	9964151
226	4522	9957379
227	4538	9949337
228	4554	9940634
229	4573	9936785
230	4596	9944225
231	4613	9939290
232	4629	9930948
233	4645	9922587
234	4663	9917242
235	4679	9908978
236	4695	9901347
237	4711	9893712
238	4728	9887243
239	4744	9879086
240	4762	9875120
241	4778	9868911
242	4795	9862387
243	4812	9856845
244	4829	9850732
245	4848	9849658
246	4865	9844986
247	4883	9840248
248	4900	9834577
249	4916	9828855
250	4933	9822244
251	4960	9837420
252	4977	9832304
253	4994	9825833
254	5011	9821768
255	5027	9814970
256	5044	9809266
257	5061	9803759
258	5077	9797251
259	5094	9791696
260	5110	9785458
261	5130	9786715
262	5147	9780370
263	5163	9773509
264	5179	9768147
265	5197	9763891
266	5215	9760976
267	5231	9755260
268	5249	9751888
269	5268	9750370
270	5284	9745062
271	5301	9740353
272	5321	9741040
273	5342	9744250
274	5361	9742085
275	5379	9740455
276	5401	9744411
277	5418	9740013
278	5435	9735344
279	5451	9729492
280	5468	9724756
281	5485	9719984
282	5501	9714598
283	5517	9709177
284	5534	9703480
285	5550	9697715
286	5567	9693281
287	5583	9687963
288	5599	9682966
289	5616	9677304
290	5632	9671862
291	5649	9668238
292	5665	9662061
293	5681	9656593
294	5697	9650866
295	5713	9646051
296	5730	9640766
297	5745	9634336
298	5761	9629393
299	5777	9623868
300	5794	9619378
301	5810	9614138
302	5826	9608820
303	5842	9603687
304	5858	9597544
305	5874	9592275
306	5890	9587006
307	5905	9581551
308	5921	9575830
309	5937	9570137
310	5955	9568015
311	5981	9580136
312	5997	9574871
313	6018	9578012
314	6045	9589617
315	6062	9586547
316	6078	9581972
317	6094	9577227
318	6111	9572545
319	6131	9574085
320	6147	9569064
321	6163	9564962
322	6181	9562276
323	6198	9559061
324	6214	9555120
325	6230	9550046
326	6247	9545831
327	6262	9540989
328	6278	9535927
329	6295	9532296
330	6311	9528411
331	6328	9525086
332	6345	9520871
333	6361	9516618
334	6377	9511655
335	6393	9507431
336	6439	9547998
337	6459	9548896
338	6480	9552239
339	6499	9551571
340	6533	9572665
341	6553	9574846
342	6573	9575484
343	6596	9581064
344	6612	9576225
345	6629	9572895
346	6645	9568528
347	6666	9572283
348	6683	9569125
349	6708	9577367
350	6743	9599538
351	6780	9623979
352	6811	9640661
353	6842	9657690
354	6875	9676292
355	6907	9694655
356	6952	9730308
357	6988	9753056
358	7023	9775509
359	7056	9794217
360	7091	9815385
361	7126	9836520
362	7160	9855282
363	7185	9863563
364	7207	9866619
365	7224	9862543
366	7241	9858515
367	7257	9853646
368	7273	9848803
369	7290	9844194
370	7305	9838339
371	7321	9833911
372	7338	9829170
373	7354	9824597
374	7370	9819864
375	7386	9815302
376	7402	9809751
377	7418	9805260
378	7434	9800973
379	7450	9796321
380	7467	9791938
381	7483	9787304
382	7499	9782906
383	7515	9778486
384	7531	9774247
385	7548	9770604
386	7564	9765942
387	7581	9761816
388	7600	9762033
389	7620	9762724
390	7639	9761119
391	7671	9777816
392	7689	9775852
393	7709	9775598
394	7727	9773659
395	7749	9777379
396	7767	9775200
397	7786	9774665
398	7802	9770307
399	7827	9776057
400	7843	9772211
401	7860	9768353
402	7876	9763939
403	7892	9759831
404	7908	9755506
405	7924	9751429
406	7941	9747913
407	7957	9744360
408	7974	9740276
409	7993	9740149
410	8010	9736678
411	8026	9732610
412	8042	9728599
413	8059	9726098
414	8085	9733961
415	8103	9731953
416	8124	9734051
417	8140	9729856
418	8157	9726243
419	8173	9721974
420	8189	9718110
421	8205	9714236
422	8221	9710333
423	8237	9706193
424	8253	9702255
425	8269	9697837
426	8285	9694086
427	8302	9691027
428	8318	9687250
429	8334	9683409
430	8351	9680138
431	8367	9676230
432	8383	9672429
433	8399	9668020
434	8415	9664340
435	8431	9661023
436	8448	9658341
437	8464	9654774
438	8481	9651165
439	8497	9647523
440	8513	9643904
441	8534	9646118
442	8550	9642010
443	8566	9638553
444	8582	9634920
445	8598	9630980
446	8614	9627322
447	8630	9623774
448	8646	9620107
449	8662	9616524
450	8679	9613852
451	8695	9610448
452	8711	9607129
453	8728	9604544
454	8744	9600987
455	8762	9598985
456	8780	9597587
457	8797	9595445
458	8817	9595811
459	8837	9597538
460	8856	9596907
461	8875	9596351
462	8894	9596348
463	8914	9596804
464	8935	9599082
465	8953	9597730
466	8970	9594974
