iter	Logloss
232	0.08743725552
233	0.08688218863
234	0.08645949023
235	0.08640757533
236	0.08621391118
237	0.08571122096
238	0.08540162431
239	0.08515301189
240	0.08497063593
241	0.0846876555
242	0.08415345065
243	0.08387280932
244	0.08345098522
245	0.08304110311
246	0.08280411024
247	0.08235234374
248	0.08202904882
249	0.08163326302
250	0.08137747817
251	0.08125282091
252	0.08078493021
253	0.08047444855
254	0.08015087313
255	0.07953888794
256	0.07899180471
257	0.07866545283
258	0.07849551569
259	0.07817653884
260	0.07773976059
261	0.07722540666
262	0.07698947278
263	0.07684070587
264	0.07680438155
265	0.07633362401
266	0.07602666768
267	0.07566610786
268	0.07530911102
269	0.07462863276
270	0.07462102126
271	0.07428004921
272	0.0741200932
273	0.07381973374
274	0.07343513021
275	0.07311821549
276	0.07282615728
277	0.07252011664
278	0.07224175456
279	0.0720582194
280	0.07197507026
281	0.07186899819
282	0.07175089829
283	0.07132619738
284	0.07085319559
285	0.07064619846
286	0.07025382622
287	0.06995177183
288	0.06958166214
289	0.06935151042
290	0.06909763445
291	0.06870639108
292	0.06860155674
293	0.06830345598
294	0.0679248343
295	0.06757961427
296	0.06731051492
297	0.06705032534
298	0.06685833737
299	0.06659543929
300	0.06629608745
301	0.06608517471
302	0.06571623109
303	0.06551263295
304	0.06535148452
305	0.06504015028
306	0.06497985678
307	0.06476801233
308	0.06461280416
309	0.06452580679
310	0.06424009565
311	0.06401413526
312	0.06369684571
313	0.06351381536
314	0.063368325
315	0.06320328015
316	0.06304793168
317	0.06288040666
318	0.0628397203
319	0.06283280873
320	0.06268087825
321	0.0626217442
322	0.06257206673
323	0.06227572215
324	0.06208901828
325	0.0618964883
326	0.06173344768
327	0.0615606802
328	0.0613600105
329	0.06129546616
330	0.06107717577
331	0.06086925005
332	0.060553923
333	0.06042969838
334	0.06025826157
335	0.06010028529
336	0.06002930011
337	0.05969416128
338	0.05953681111
339	0.05948323856
340	0.05942573035
341	0.05921764244
342	0.05884503984
343	0.05864942088
344	0.05851882111
345	0.05833268963
346	0.05807177449
347	0.05792774234
348	0.05779598072
349	0.05749647696
350	0.05733260005
351	0.05696976865
352	0.05637044522
353	0.0561879876
354	0.0561029351
355	0.05609567159
356	0.05598370064
357	0.0557677544
358	0.05542006972
359	0.05531330301
360	0.05509217335
361	0.0549256564
362	0.05476344086
363	0.05443194333
364	0.05442145564
365	0.05417292651
366	0.0540190596
367	0.05385899711
368	0.05367927718
369	0.05359035731
370	0.05332811729
371	0.05317781117
372	0.05303810034
373	0.05281823791
374	0.05279309007
375	0.05255140744
376	0.05246126452
377	0.05239043101
378	0.05222083882
379	0.0521034693
380	0.05203018691
381	0.05174598856
382	0.05170559658
383	0.05168425189
384	0.05146039442
385	0.05123319937
386	0.05103432818
387	0.05086188942
388	0.05077041656
389	0.05051345135
390	0.05040259837
391	0.05028814321
392	0.05011424725
393	0.04996167516
394	0.04991496106
395	0.0496173131
396	0.04945577218
397	0.04940603225
398	0.04920606649
399	0.04914661268
400	0.04909027517
401	0.04895314432
402	0.0489430076
403	0.04880679566
404	0.04869131294
405	0.04868002356
406	0.04854932522
407	0.04842918539
408	0.048221495
409	0.04800066112
410	0.04783070377
411	0.04775275654
412	0.04757670824
413	0.04741773494
414	0.04733452325
415	0.04722671918
416	0.04720486243
417	0.04685898965
418	0.04681804791
419	0.04681188237
420	0.04679864003
421	0.04660885335
422	0.04652425907
423	0.04651474754
424	0.04633035843
425	0.04630510277
426	0.04614863896
427	0.04607556348
428	0.04600721455
429	0.04587666067
430	0.04579721019
431	0.04578078573
432	0.04577907408
433	0.04573129932
434	0.04561269486
435	0.04551639102
436	0.04537772975
437	0.0452546494
438	0.04514778629
439	0.04504200977
440	0.04497561016
441	0.04493058739
442	0.04492703198
443	0.04483050455
444	0.04476298966
445	0.04475572338
446	0.04467802609
447	0.0445633696
448	0.04447093007
449	0.0444621291
450	0.04414048935
451	0.04402558957
452	0.04399723092
453	0.04384142415
454	0.04374361448
455	0.04374102171
456	0.04367412825
457	0.04360806784
458	0.04350322927
459	0.04325967662
460	0.04313930848
461	0.04296701894
462	0.04271342464
463	0.04265056041
464	0.04258580104
465	0.04256501245
466	0.04233146626
